zipcode,lat,lon,population,land,density
94102,37.779278,-122.416582,31176,1.737882022,17939.07734
94103,37.775678,-122.412131,27170,3.512023877,7736.279977
94104,37.790728,-122.401732,406,0.202019073,2009.711236
94105,37.789595,-122.395631,5846,0.955705613,6116.946393
94107,37.769029,-122.393681,26599,4.641258693,5730.988458
94108,37.791028,-122.408782,13768,0.69929679,19688.35007
94109,37.795219,-122.420782,55984,3.076905875,18194.90172
94110,37.748932,-122.416281,69333,6.021722356,11513.81547
94111,37.773579,-122.405331,3713,0.89095591,4167.434055
94112,37.721981,-122.439382,79407,8.712720002,9113.916203
94114,37.758279,-122.439332,31124,3.690733057,8433.013041
94115,37.786028,-122.437032,33021,2.890426731,11424.26468
94116,37.743857,-122.483232,43698,6.697709252,6524.320234
94117,37.769079,-122.443882,39169,4.37189993,8959.262707
94118,37.778779,-122.459982,38319,5.047886826,7591.097288
94121,37.777129,-122.491682,41203,7.982343355,5161.767437
94122,37.761179,-122.475732,56023,6.122731892,9150.000521
94123,37.79967,-122.435732,23088,2.64437786,8730.976139
94124,37.73123,-122.382857,33996,12.75828143,2664.622205
94127,37.73403,-122.458632,19289,4.584278955,4207.640981
94128,37.621582,-122.392882,69,9.1271181,7.55988903
94129,37.798878,-122.465682,3183,5.967332605,533.404154
94130,37.819763,-122.368433,2880,2.385379049,1207.355284
94131,37.74363,-122.443182,26881,5.387175269,4989.813522
94132,37.722631,-122.482483,28129,8.054863022,3492.176083
94133,37.801928,-122.410182,26237,1.955441023,13417.43356
94134,37.72168,-122.410832,40798,6.215971464,6563.414944
94158,37.768106,-122.386927,4792,1.704212176,2811.85645
